PropertyID,ParcelID,LandUse,PropertyAddress,PropertyCity,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,OwnerID
41989,051 07 0 095.00,ZERO LOT LINE,117  CASH LN, MADISON,0.23,GENERAL SERVICES DISTRICT,14000.0,62100.0,76100.0,1983,2,2,0,3237
50680,051 07 0 096.00,ZERO LOT LINE,302 DUE WEST  AVE, MADISON,0.31,GENERAL SERVICES DISTRICT,14000.0,60600.0,74600.0,1983,2,1,0,3238
33099,051 07 0 104.00,SINGLE FAMILY,1119  GIBSON DR, MADISON,0.36,GENERAL SERVICES DISTRICT,21600.0,146300.0,167900.0,2008,3,2,0,3239
43141,051 08 0 044.00,SINGLE FAMILY,839  ARGLE AVE, MADISON,0.49,GENERAL SERVICES DISTRICT,20000.0,89300.0,109300.0,1950,3,2,0,3240
23943,051 08 0 047.00,SINGLE FAMILY,845  ARGLE AVE, MADISON,0.33,GENERAL SERVICES DISTRICT,16000.0,67200.0,86100.0,1945,3,1,0,3241
36555,051 08 0 063.00,SINGLE FAMILY,222  EMMITT AVE, MADISON,0.28,GENERAL SERVICES DISTRICT,16000.0,43000.0,59000.0,1945,2,1,0,3242
52029,051 08 0 063.00,SINGLE FAMILY,222 EMMITT  AVE, MADISON,0.28,GENERAL SERVICES DISTRICT,16000.0,43000.0,59000.0,1945,2,1,0,3242
19867,051 08 0 064.00,SINGLE FAMILY,226  EMMITT AVE, MADISON,0.41,GENERAL SERVICES DISTRICT,20000.0,50900.0,71100.0,1930,2,1,0,3244
9833,051 08 0 069.00,SINGLE FAMILY,246  EMMITT AVE, MADISON,0.34,GENERAL SERVICES DISTRICT,16000.0,65100.0,92900.0,1936,3,1,0,3245
8938,051 08 0 073.00,SINGLE FAMILY,260  EMMITT AVE, MADISON,0.29,GENERAL SERVICES DISTRICT,16000.0,52600.0,68600.0,1958,2,1,0,3246
34824,051 08 0 115.00,SINGLE FAMILY,116  E PALESTINE AVE, MADISON,0.42,GENERAL SERVICES DISTRICT,16000.0,82000.0,98800.0,1961,3,1,0,3247
38135,051 08 0 116.00,SINGLE FAMILY,118  E PALESTINE AVE, MADISON,0.41,GENERAL SERVICES DISTRICT,16000.0,90900.0,109000.0,1954,2,1,0,3248
23944,051 08 0 123.00,SINGLE FAMILY,121  DUE WEST AVE, MADISON,0.4,GENERAL SERVICES DISTRICT,16000.0,92900.0,113100.0,1947,3,2,0,3249
25101,051 08 0 124.00,SINGLE FAMILY,119  DUE WEST AVE, MADISON,0.4,GENERAL SERVICES DISTRICT,16000.0,114600.0,140500.0,1940,3,2,0,3250
11725,051 08 0 127.00,SINGLE FAMILY,113  DUE WEST AVE, MADISON,0.42,GENERAL SERVICES DISTRICT,16000.0,45700.0,61700.0,1945,2,1,0,3251
11726,051 08 0 128.00,SINGLE FAMILY,111  DUE WEST AVE, MADISON,0.48,GENERAL SERVICES DISTRICT,16000.0,37600.0,53600.0,1940,2,1,1,3252
48807,051 08 0 140.00,SINGLE FAMILY,220 E PALESTINE  AVE, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,69300.0,85300.0,1976,2,1,0,3253
48808,051 08 0 140.00,SINGLE FAMILY,220 E PALESTINE  AVE, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,69300.0,85300.0,1976,2,1,0,3253
56104,051 08 0 140.00,SINGLE FAMILY,220 E PALESTINE  AVE, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,69300.0,85300.0,1976,2,1,0,3253
8018,051 08 0 165.00,SINGLE FAMILY,204  DUE WEST AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,70100.0,86100.0,1950,3,1,0,3257
8939,051 08 0 173.00,SINGLE FAMILY,311  DUE WEST AVE, MADISON,0.34,GENERAL SERVICES DISTRICT,16000.0,72400.0,89800.0,1950,2,2,0,3258
4563,051 08 0 212.00,SINGLE FAMILY,211  DUE WEST AVE, MADISON,0.21,GENERAL SERVICES DISTRICT,16000.0,63600.0,83500.0,1935,2,1,0,3261
8019,051 08 0 215.00,SINGLE FAMILY,201 A  DUE WEST AVE, MADISON,0.24,GENERAL SERVICES DISTRICT,16000.0,105600.0,121600.0,1999,3,2,0,3262
48809,051 10 0 009.00,SINGLE FAMILY,710 FREDA VILLA, MADISON,0.83,GENERAL SERVICES DISTRICT,35000.0,137200.0,172200.0,1956,3,2,1,3263
53193,051 12 0 011.00,SINGLE FAMILY,103 BARRY  DR, MADISON,0.58,GENERAL SERVICES DISTRICT,20000.0,106100.0,126100.0,1959,3,1,1,3303
29528,051 12 0 023.00,SINGLE FAMILY,1204  BARRY DR, MADISON,0.28,GENERAL SERVICES DISTRICT,16000.0,78500.0,97200.0,1948,3,2,0,3304
48810,051 12 0 026.00,SINGLE FAMILY,115 BERKLEY  DR, MADISON,0.32,GENERAL SERVICES DISTRICT,16000.0,106500.0,122500.0,1950,3,2,0,3305
38136,051 12 0 035.00,SINGLE FAMILY,102  BERKLEY DR, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,74500.0,90500.0,1950,2,1,0,3306
48811,051 12 0 045.00,SINGLE FAMILY,1321 CORELAND  DR, MADISON,0.45,GENERAL SERVICES DISTRICT,20000.0,94200.0,114200.0,1959,3,1,1,3307
47054,051 12 0 052.00,DUPLEX,1314  CORELAND DR, MADISON,0.34,GENERAL SERVICES DISTRICT,16000.0,79000.0,95000.0,1965,4,2,0,3308
27182,051 12 0 063.00,SINGLE FAMILY,1218  ARGLE AVE, MADISON,0.24,GENERAL SERVICES DISTRICT,16000.0,102000.0,118000.0,1953,3,1,0,3309
38137,051 12 0 063.00,SINGLE FAMILY,1218  ARGLE AVE, MADISON,0.24,GENERAL SERVICES DISTRICT,16000.0,102000.0,118000.0,1953,3,1,0,3309
47055,051 12 0 085.00,SINGLE FAMILY,405  BLUE GRASS AVE, MADISON,0.4,GENERAL SERVICES DISTRICT,16000.0,77600.0,93600.0,1940,4,1,0,3311
29529,051 12 0 085.00,SINGLE FAMILY,405  BLUE GRASS AVE, MADISON,0.4,GENERAL SERVICES DISTRICT,16000.0,77600.0,93600.0,1940,4,1,0,3311
48812,051 12 0 091.00,SINGLE FAMILY,420 BLUE GRASS  AVE, MADISON,0.35,GENERAL SERVICES DISTRICT,16000.0,65000.0,88700.0,1980,2,1,0,3313
38138,051 12 0 096.00,SINGLE FAMILY,427  BEECH AVE, MADISON,0.43,GENERAL SERVICES DISTRICT,16000.0,132800.0,170200.0,1981,2,2,0,3314
7054,051 12 0 098.00,SINGLE FAMILY,405  BEECH AVE, MADISON,0.34,GENERAL SERVICES DISTRICT,16000.0,88000.0,114500.0,1950,2,1,0,3315
53194,051 12 0 122.00,SINGLE FAMILY,355 INDIAN  TRL, MADISON,0.3,GENERAL SERVICES DISTRICT,16000.0,86200.0,103600.0,1957,2,1,0,3316
16969,051 12 0 124.00,SINGLE FAMILY,400  INDIAN TRL, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,103300.0,119300.0,2000,3,2,0,3317
36556,051 13 0 009.00,DUPLEX,3512  SLATE DR, NASHVILLE,0.26,URBAN SERVICES DISTRICT,18000.0,67900.0,85900.0,1984,4,2,0,3318
56108,051 14 0 035.00,SINGLE FAMILY,817 LEMONT  DR, NASHVILLE,0.8,URBAN SERVICES DISTRICT,34500.0,82900.0,118900.0,1956,2,1,0,3320
8940,051 14 0 050.00,SINGLE FAMILY,4508  HELMWOOD DR, NASHVILLE,0.35,URBAN SERVICES DISTRICT,30000.0,90000.0,120000.0,1957,3,1,0,3323
47056,051 14 0 051.00,SINGLE FAMILY,4522  GRAYCROFT AVE, NASHVILLE,0.45,URBAN SERVICES DISTRICT,30000.0,120500.0,150500.0,1956,3,2,0,3324
7055,051 14 0 060.00,SINGLE FAMILY,828  LEMONT DR, NASHVILLE,0.51,URBAN SERVICES DISTRICT,30000.0,119700.0,149700.0,1956,2,2,0,3326
50683,051 14 0 061.00,SINGLE FAMILY,832 LEMONT  DR, NASHVILLE,0.58,URBAN SERVICES DISTRICT,30000.0,91000.0,121000.0,1955,2,1,0,3327
34826,051 14 0 062.00,SINGLE FAMILY,836  LEMONT DR, NASHVILLE,0.64,URBAN SERVICES DISTRICT,30000.0,105600.0,135600.0,1954,3,2,0,3328
19868,051 14 0 072.00,ZERO LOT LINE,814  KINSINGTON DR, NASHVILLE,0.12,URBAN SERVICES DISTRICT,17100.0,59700.0,76800.0,1984,2,1,1,3329
3297,051 14 0 076.00,ZERO LOT LINE,816  KINSINGTON DR, NASHVILLE,0.13,URBAN SERVICES DISTRICT,17100.0,66200.0,87400.0,1984,2,1,1,3330
4568,051 15 0 011.00,SINGLE FAMILY,4603  SAUNDERS AVE, NASHVILLE,0.66,URBAN SERVICES DISTRICT,30000.0,110200.0,140200.0,1956,3,1,0,3336
18427,051 15 0 013.00,SINGLE FAMILY,4602  SAUNDERS AVE, NASHVILLE,0.61,URBAN SERVICES DISTRICT,30000.0,104400.0,134400.0,1960,3,2,1,3337
31252,051 15 0 041.00,SINGLE FAMILY,1607  SAUNDERS AVE, MADISON,0.51,GENERAL SERVICES DISTRICT,35000.0,153300.0,188300.0,1972,3,2,0,3340
21348,052 01 0 007.00,SINGLE FAMILY,317  HARRIS ST, MADISON,0.16,GENERAL SERVICES DISTRICT,16000.0,52000.0,68000.0,1945,3,1,0,3381
678,052 01 0 012.00,SINGLE FAMILY,337  HARRIS ST, MADISON,0.16,GENERAL SERVICES DISTRICT,16000.0,42900.0,58900.0,1950,2,1,0,3382
41993,052 01 0 033.00,SINGLE FAMILY,222  HARRIS ST, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,63400.0,80500.0,1948,2,1,0,3383
21349,052 01 0 036.00,SINGLE FAMILY,228  HARRIS ST, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,43900.0,62600.0,1945,2,1,0,3384
26265,052 01 0 037.00,DUPLEX,230  HARRIS ST, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,67600.0,88500.0,1968,4,2,0,3385
27184,052 01 0 038.00,SINGLE FAMILY,232  HARRIS ST, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,46400.0,64200.0,1948,3,1,0,3386
2113,052 01 0 045.00,SINGLE FAMILY,324  HARRIS ST, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,60100.0,85000.0,1948,2,1,0,3387
18429,052 01 0 047.00,SINGLE FAMILY,332  HARRIS ST, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,52600.0,68600.0,1948,3,1,0,3388
38139,052 01 0 059.00,SINGLE FAMILY,305  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,94600.0,117500.0,1940,3,2,0,3389
43144,052 01 0 059.00,SINGLE FAMILY,305  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,94600.0,117500.0,1940,3,2,0,3389
13409,052 01 0 063.00,SINGLE FAMILY,231  HARRINGTON AVE, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,51500.0,72400.0,1950,3,1,0,3391
56111,052 01 0 063.00,SINGLE FAMILY,231 HARRINGTON  AVE, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,51500.0,72400.0,1950,3,1,0,3391
13410,052 01 0 066.00,SINGLE FAMILY,225  HARRINGTON AVE, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,51900.0,67900.0,1950,2,1,0,3393
41995,052 01 0 069.00,SINGLE FAMILY,161  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,48700.0,64700.0,1950,2,1,0,3395
16971,052 01 0 079.00,SINGLE FAMILY,160  HARRINGTON AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,57200.0,73200.0,1948,2,1,0,3396
29531,052 01 0 079.00,SINGLE FAMILY,160  HARRINGTON AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,57200.0,73200.0,1948,2,1,0,3396
48815,052 01 0 089.00,SINGLE FAMILY,304 HARRINGTON  AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,48900.0,64900.0,1940,2,1,0,3398
28199,052 01 0 090.00,SINGLE FAMILY,312  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,37300.0,55700.0,1940,2,1,0,3399
4570,052 01 0 093.00,SINGLE FAMILY,320  HARRINGTON AVE, MADISON,0.18,GENERAL SERVICES DISTRICT,16000.0,51300.0,67300.0,1946,3,1,0,3400
13411,052 01 0 095.00,SINGLE FAMILY,328  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,64000.0,80000.0,1940,2,1,0,3401
12425,052 01 0 097.00,SINGLE FAMILY,336  HARRINGTON AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,44100.0,62800.0,1940,2,1,0,3402
33104,052 01 0 100.00,DUPLEX,341  NEELYS BEND RD, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,78900.0,94900.0,1940,3,2,0,3403
33105,052 01 0 101.00,SINGLE FAMILY,337  NEELYS BEND RD, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,85500.0,101500.0,1997,3,2,0,3404
38140,052 01 0 103.00,SINGLE FAMILY,327  NEELYS BEND RD, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,73500.0,89500.0,1963,3,1,0,3405
3298,052 01 0 116.00,SINGLE FAMILY,239  NEELYS BEND RD, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,70300.0,96300.0,1940,4,1,0,3406
47059,052 01 0 122.00,SINGLE FAMILY,209  NEELYS BEND RD, MADISON,0.44,GENERAL SERVICES DISTRICT,20000.0,100200.0,126400.0,1935,4,3,0,3407
15591,052 01 0 129.00,SINGLE FAMILY,517  IDLEWILD AVE, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,86500.0,113300.0,1948,3,1,0,3409
4571,052 01 0 131.00,SINGLE FAMILY,509  IDLEWILD AVE, MADISON,0.18,GENERAL SERVICES DISTRICT,16000.0,106900.0,122900.0,1941,3,2,0,3410
23946,052 01 0 163.00,SINGLE FAMILY,539  NEELYS BEND RD, MADISON,0.4,GENERAL SERVICES DISTRICT,16000.0,77600.0,93600.0,1950,3,1,0,3412
16972,052 01 0 168.00,SINGLE FAMILY,226  NEELYS BEND RD, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,52000.0,75500.0,1945,4,1,0,3413
44122,052 01 0 172.00,DUPLEX,250  NEELYS BEND RD, MADISON,0.44,GENERAL SERVICES DISTRICT,20000.0,106700.0,126700.0,1945,4,2,0,3414
28200,052 01 0 182.00,SINGLE FAMILY,235  ROBINWOOD AVE, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,59700.0,86700.0,1950,2,1,0,3416
9836,052 01 0 202.00,SINGLE FAMILY,249  MADISON BLVD, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,46500.0,63700.0,1948,3,1,0,3421
29533,052 01 0 202.00,SINGLE FAMILY,249  MADISON BLVD, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,46500.0,63700.0,1948,3,1,0,3421
48816,052 01 0 209.00,SINGLE FAMILY,238 MADISON  BLVD, MADISON,0.39,GENERAL SERVICES DISTRICT,16000.0,82600.0,98600.0,1951,3,1,0,3423
5849,052 01 0 210.00,SINGLE FAMILY,814  GALLAVISTA AVE, MADISON,0.35,GENERAL SERVICES DISTRICT,16000.0,73600.0,94200.0,1956,3,1,0,3424
33107,052 01 0 210.00,SINGLE FAMILY,814  GALLAVISTA AVE, MADISON,0.35,GENERAL SERVICES DISTRICT,16000.0,73600.0,94200.0,1956,3,1,0,3424
47061,052 01 0 213.00,DUPLEX,240  MADISON BLVD, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,74200.0,90200.0,1963,4,2,0,3426
43145,052 01 0 218.00,SINGLE FAMILY,268  MADISON BLVD, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,63100.0,79100.0,1955,3,1,0,3427
56112,052 01 0 220.00,SINGLE FAMILY,305 MADISON  BLVD, MADISON,0.29,GENERAL SERVICES DISTRICT,16000.0,98900.0,114900.0,1948,3,2,0,3428
27185,052 01 0 228.00,SINGLE FAMILY,733  WALNUT ST, MADISON,0.3,GENERAL SERVICES DISTRICT,16000.0,93600.0,110100.0,1944,2,1,0,3429
36560,052 01 0 228.00,SINGLE FAMILY,733  WALNUT ST, MADISON,0.3,GENERAL SERVICES DISTRICT,16000.0,93600.0,110100.0,1944,2,1,0,3429
10809,052 01 0 233.00,SINGLE FAMILY,704  OAKDELL AVE, MADISON,0.3,GENERAL SERVICES DISTRICT,16000.0,57100.0,73100.0,1940,3,1,0,3432
56113,052 01 0 239.00,SINGLE FAMILY,740 OAKDELL  AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,52100.0,71300.0,1944,2,1,0,3433
7057,052 01 0 245.00,SINGLE FAMILY,770  OAKDELL AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,69300.0,85300.0,1935,3,1,1,3434
13412,052 01 0 256.00,SINGLE FAMILY,739  OAKDELL AVE, MADISON,0.16,GENERAL SERVICES DISTRICT,16000.0,54200.0,70200.0,1949,2,1,0,3435
38141,052 01 0 296.00,SINGLE FAMILY,726  IDLEWILD DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,60800.0,76800.0,1957,2,1,0,3437
39498,052 01 0 297.00,SINGLE FAMILY,730  IDLEWILD DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,55800.0,71800.0,1957,2,1,0,3438
21350,052 01 0 298.00,SINGLE FAMILY,734  IDLEWILD DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,55300.0,71300.0,1957,2,1,0,3439
22783,052 01 0 300.00,SINGLE FAMILY,744  IDLEWILD DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,57500.0,73500.0,1961,2,1,0,3440
25106,052 01 0 301.00,SINGLE FAMILY,767  MADISON BLVD, MADISON,0.3,GENERAL SERVICES DISTRICT,16000.0,60100.0,79200.0,1969,2,1,0,3441
2114,052 01 0 308.00,VACANT RES LAND,804  IDLEWILD DR, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,111500.0,127500.0,2014,4,2,0,3442
25107,052 01 0 308.00,SINGLE FAMILY,804  IDLEWILD DR, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,111500.0,127500.0,2014,4,2,0,3442
43146,052 01 0 325.00,SINGLE FAMILY,560  NEELYS BEND RD, MADISON,0.46,GENERAL SERVICES DISTRICT,20000.0,112900.0,133800.0,1945,2,2,0,3444
33108,052 01 0 334.00,DUPLEX,259  MADISON BLVD, MADISON,0.21,GENERAL SERVICES DISTRICT,16000.0,161200.0,177200.0,1960,4,2,1,3446
47062,052 01 0 334.00,DUPLEX,259  MADISON BLVD, MADISON,0.21,GENERAL SERVICES DISTRICT,16000.0,161200.0,177200.0,1960,4,2,1,3446
53197,052 01 0 360.00,SINGLE FAMILY,401 NEELYS BEND  RD, MADISON,0.33,GENERAL SERVICES DISTRICT,16000.0,108300.0,128900.0,1939,4,2,0,3449
44124,052 02 0 002.00,SINGLE FAMILY,508  LANIER DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,58700.0,77100.0,1950,2,1,0,3470
31257,052 02 0 019.00,SINGLE FAMILY,406  LANIER DR, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,81300.0,106600.0,1948,3,2,0,3471
50684,052 02 0 019.00,SINGLE FAMILY,406 LANIER  DR, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,81300.0,106600.0,1948,3,2,0,3471
52032,052 02 0 031.00,SINGLE FAMILY,644 YOWELL  AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,68600.0,90000.0,1953,2,1,0,3473
38142,052 02 0 051.00,SINGLE FAMILY,417  LANIER DR, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,44200.0,64500.0,1945,2,1,0,3475
38143,052 02 0 053.00,SINGLE FAMILY,407  LANIER DR, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,101100.0,118900.0,1948,3,1,1,3476
45361,052 02 0 069.00,SINGLE FAMILY,713  CARMEL AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,115300.0,136900.0,1952,2,2,0,3477
23947,052 02 0 072.00,SINGLE FAMILY,649  CARMEL AVE, MADISON,0.19,GENERAL SERVICES DISTRICT,16000.0,54300.0,70300.0,1948,2,1,0,3478
31258,052 02 0 074.00,SINGLE FAMILY,645  CARMEL AVE, MADISON,0.16,GENERAL SERVICES DISTRICT,16000.0,79800.0,95800.0,1948,2,1,0,3479
56114,052 02 0 080.00,SINGLE FAMILY,633 CARMEL  AVE, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,73800.0,91400.0,1960,2,1,1,3480
56115,052 02 0 080.00,SINGLE FAMILY,633 CARMEL  AVE, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,73800.0,91400.0,1960,2,1,1,3480
34830,052 02 0 082.00,SINGLE FAMILY,603  CARMEL AVE, MADISON,0.16,GENERAL SERVICES DISTRICT,16000.0,79600.0,95600.0,1948,2,1,0,3482
31259,052 02 0 084.00,SINGLE FAMILY,451  LANIER DR, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,86300.0,105500.0,1948,3,2,0,3483
13413,052 02 0 092.00,SINGLE FAMILY,628  CARMEL AVE, MADISON,0.34,GENERAL SERVICES DISTRICT,20000.0,70300.0,90300.0,1955,2,1,0,3484
34831,052 02 0 097.00,SINGLE FAMILY,648  CARMEL AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,45700.0,61700.0,1948,2,1,0,3485
23948,052 02 0 099.00,SINGLE FAMILY,704  CARMEL AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,90300.0,106300.0,1948,3,2,0,3486
26267,052 02 0 103.00,SINGLE FAMILY,718  CARMEL AVE, MADISON,0.22,GENERAL SERVICES DISTRICT,16000.0,79300.0,95300.0,1955,2,1,0,3487
10811,052 02 0 107.00,SINGLE FAMILY,723  CHERYL AVE, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,67100.0,89900.0,1960,2,1,0,3488
28202,052 02 0 115.00,SINGLE FAMILY,635  CHERYL AVE, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,67400.0,85400.0,1948,3,1,0,3489
45362,052 02 0 119.00,SINGLE FAMILY,621  CHERYL AVE, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,45600.0,61600.0,1948,2,1,0,3490
34832,052 02 0 126.00,SINGLE FAMILY,509  LANIER DR, MADISON,0.32,GENERAL SERVICES DISTRICT,20000.0,125400.0,145400.0,2015,4,2,0,3491
54679,052 02 0 133.00,SINGLE FAMILY,570 CHERYL  AVE, MADISON,0.27,GENERAL SERVICES DISTRICT,16000.0,67300.0,83300.0,1950,2,1,0,3492
36561,052 02 0 143.00,SINGLE FAMILY,714  CHERYL AVE, MADISON,0.24,GENERAL SERVICES DISTRICT,16000.0,54700.0,84100.0,1947,2,1,0,3493
45363,052 02 0 149.00,SINGLE FAMILY,725  BLACKSTONE AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,53900.0,71600.0,1948,2,1,0,3494
45364,052 02 0 149.00,SINGLE FAMILY,725  BLACKSTONE AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,53900.0,71600.0,1948,2,1,0,3494
39500,052 02 0 154.00,SINGLE FAMILY,705  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,59100.0,75100.0,1948,3,1,0,3496
39501,052 02 0 156.00,SINGLE FAMILY,643  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,148200.0,164200.0,1949,3,2,0,3497
53200,052 02 0 159.00,SINGLE FAMILY,631 BLACKSTONE  AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,50800.0,66800.0,1960,2,1,0,3498
56116,052 02 0 159.00,SINGLE FAMILY,631 BLACKSTONE  AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,50800.0,66800.0,1960,2,1,0,3498
28203,052 02 0 160.00,SINGLE FAMILY,627  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,109500.0,130500.0,1949,4,1,0,3500
47064,052 02 0 161.00,SINGLE FAMILY,623  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,77600.0,97300.0,1949,3,1,0,3501
26268,052 02 0 182.00,DUPLEX,712  BLACKSTONE AVE, MADISON,0.25,GENERAL SERVICES DISTRICT,16000.0,92200.0,108700.0,1984,4,2,0,3502
26269,052 02 0 183.00,DUPLEX,720  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,92200.0,108200.0,1984,4,2,0,3503
47065,052 02 0 190.00,SINGLE FAMILY,713  NEELYS BEND RD, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,73300.0,89300.0,1948,2,1,0,3504
14464,052 02 0 192.00,DUPLEX,705  NEELYS BEND RD, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,82700.0,98700.0,1982,4,2,0,3505
31260,052 02 0 194.00,SINGLE FAMILY,641  NEELYS BEND RD, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,63700.0,79700.0,1948,3,1,0,3506
22784,052 02 0 200.00,SINGLE FAMILY,629  NEELYS BEND RD, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,81800.0,114300.0,1948,2,1,0,3508
8022,052 02 0 206.00,SINGLE FAMILY,603  NEELYS BEND RD, MADISON,0.2,GENERAL SERVICES DISTRICT,16000.0,47500.0,63500.0,1948,2,1,0,3509
34833,052 02 0 220.00,SINGLE FAMILY,614  NEELYS BEND RD, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,71400.0,94200.0,1952,2,1,0,3510
19870,052 02 0 274.00,SINGLE FAMILY,716  BLACKSTONE AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,66600.0,84900.0,1945,4,1,0,3522
52034,052 02 0 274.00,SINGLE FAMILY,716 BLACKSTONE  AVE, MADISON,0.26,GENERAL SERVICES DISTRICT,16000.0,66600.0,84900.0,1945,4,1,0,3522
34834,052 02 0 276.00,SINGLE FAMILY,579  NEELYS BEND RD, MADISON,0.46,GENERAL SERVICES DISTRICT,20000.0,69600.0,90300.0,1948,2,1,0,3524
679,052 02 0 280.00,SINGLE FAMILY,571  NEELYS BEND RD, MADISON,0.23,GENERAL SERVICES DISTRICT,16000.0,116900.0,132900.0,2012,3,2,0,3525
19871,052 03 0 009.00,SINGLE FAMILY,524  KINSEY BLVD, MADISON,0.32,GENERAL SERVICES DISTRICT,27000.0,69100.0,96100.0,1986,2,1,1,3529
21351,052 03 0 011.00,SINGLE FAMILY,516  KINSEY BLVD, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,43300.0,59300.0,1945,1,1,0,3530
19872,052 03 0 020.00,SINGLE FAMILY,450  KINSEY BLVD, MADISON,0.17,GENERAL SERVICES DISTRICT,16000.0,82400.0,98400.0,1986,3,1,1,3531
25108,052 03 0 036.00,SINGLE FAMILY,435  KINSEY BLVD, MADISON,0.34,GENERAL SERVICES DISTRICT,27000.0,84200.0,111200.0,1945,4,2,0,3532
22786,052 03 0 078.00,SINGLE FAMILY,501  KINSEY BLVD, MADISON,0.48,GENERAL SERVICES DISTRICT,27000.0,71600.0,99800.0,1986,3,1,1,3534
